Number,Adjective,Comparative,Superlative,ExampleComparative,ExampleSuperlative,
1,angry,angrier,angriest,She seems angrier today than she was yesterday.,He's the angriest person in the room.,
2,good,better,best,This cake is better than the one I made last time.,This is the best cake I've ever tasted.,
3,big,bigger,biggest,My cat is bigger than yours.,This is the biggest pumpkin I've ever seen.,
4,bitter,bitterer,bitterest,The medicine today tastes bitterer than before.,This is the bitterest tea I've ever had.,
5,black,blacker,blackest,The night sky is blacker after the storm.,This is the blackest ink I've used.,
6,bland,blander,blandest,The soup is blander now without the spices.,This is the blandest dish on the menu.,
7,bloody,bloodier,bloodiest,This battle is bloodier than the last one.,This is the bloodiest movie I've seen.,
8,blue,bluer,bluest,The ocean looks bluer today.,This is the bluest sky in months.,
9,bold,bolder,boldest,His behavior is bolder than usual.,That's the boldest move I've seen.,
10,bossy,bossier,bossiest,She's bossier than her boss.,She's bossier than her boss.,
11,brave,braver,bravest,"In the battle, he was braver than anyone else.","Out of all the heroes, she was the bravest.",
12,brief,briefer,briefest,His speech was briefer than expected.,This is the briefest meeting we've had all year.,
13,bright,brighter,brightest,Her flashlight is brighter than mine.,That's the brightest star I've ever seen.,
14,broad,broader,broadest,This path is broader than the one we took yesterday,This river is the broadest in the region,
15,busy,busier,busiest,Today is busier than usual,This has been the busiest week of my career,
16,calm,calmer,calmest,"After the storm, the sea was calmer",That was the calmest I've ever seen him,
17,cheap,cheaper,cheapest,This phone is cheaper than the one I bought last year,These are the cheapest tickets available,
18,chewy,chewier,chewiest,This candy is chewier than I expected,That is the chewiest gum I've ever had,
19,chubby,chubbier,chubbiest,The cat is chubbier than I remember,He's the chubbiest baby in the family,
20,classy,classier,classiest,Her outfit is classier than mine,That was the classiest event I've ever attended,
21,clean,cleaner,cleanest,This room is cleaner than the one downstairs,This is the cleanest kitchen I've ever seen,
22,clear,clearer,clearest,The water here is clearer than at the other beach,That's the clearest explanation I've heard,
23,clever,cleverer,cleverest,He's cleverer than his brother,She's the cleverest student in the class,
24,close,closer,closest,The grocery store is closer than the mall,He's the closest friend I have,
25,cloudy,cloudier,cloudiest,Today is cloudier than yesterday,This is the cloudiest day of the week,
26,clumsy,clumsier,clumsiest,He's clumsier than anyone else I know,She's the clumsiest person in the office,
27,coarse,coarser,coarsest,This sand is coarser than the sand on the other beach,This is the coarsest fabric in the store,
28,cold,colder,coldest,It's colder today than it was yesterday,This is the coldest winter I've ever experienced,
29,cool,cooler,coolest,It's cooler in the shade than in the sun,This is the coolest part of town,
30,crazy,crazier,craziest,This idea is crazier than the last one,This is the craziest thing I've ever seen,
31,creamy,creamier,creamiest,This ice cream is creamier than the last one,This is the creamiest dessert on the menu,
